"Meta Ad Library 분석 — ""라네즈""",,,,,,,,,,,
총 150건 | 생성: 2026-03-03 07:13 | Goldnex SM본부,,,,,,,,,,,
95,라네즈 LANEIGE,프로모션,리뷰/UGC,1+1 특가 진행 중! 베스트셀러 세럼 2개를 1개 가격에 🎉 무료배송은 덤 | 한정 특가 | 피부 타입별 맞춤 추천,소재보기 →,"facebook, instagram, audience_network",여성 / 25-44세,2026-01-11,집행중,0,"6,159,024원"
96,라네즈 LANEIGE,소셜증거 (Social Proof),정보형 (Edu),2026 화해 어워드 수상 🎖️ 올리브영 스킨케어 랭킹 TOP3 올킬 | 자세히 보기 | 무료 샘플 증정,소재보기 →,"facebook, instagram",여성 / 25-44세,2026-01-09,2026-02-06,28,"3,015,525원"
97,라네즈 LANEIGE,프로모션,USP (제품특장점),"🔥 올영세일 최대 50% OFF! 인기 스킨케어 득템 찬스, 이번 주 일요일까지만 | 베스트셀러 | 피부 타입별 맞춤 추천",소재보기 →,"facebook, instagram, audience_network",여성 / 25-44세,2025-12-17,집행중,0,"2,260,900원"
98,라네즈 LANEIGE,프로모션,브랜딩,오늘 하루만! 전품목 무료배송 + 사은품 랜덤박스 증정 이벤트 | 자세히 보기 | 새로운 발견,소재보기 →,instagram,전체 / 18-34세,2026-01-16,2026-02-14,29,"6,610,801원"
99,라네즈 LANEIGE,리뷰/UGC,정보형 (Edu),전후 비교 보세요! 2주만에 모공이 줄어든 게 보이죠? 실제 사용 후기입니다 | 자세히 보기 | 피부 타입별 맞춤 추천,소재보기 →,facebook,여성 / 18-65세,2026-02-20,집행중,0,"246,850원"
100,라네즈 LANEIGE,리뷰/UGC,프로모션,찐후기) 3개월 써본 솔직 리뷰... 진짜 피부결이 달라졌어요 😱 비포애프터 공개 | 한정 특가 | 무료 샘플 증정,소재보기 →,instagram,남성 / 18-34세,2025-04-25,집행중,0,"38,491,996원"
101,라네즈 LANEIGE,리뷰/UGC,정보형 (Edu),전후 비교 보세요! 2주만에 모공이 줄어든 게 보이죠? 실제 사용 후기입니다 | 베스트셀러 | 지금 확인하세요,소재보기 →,instagram,여성 / 18-44세,2026-01-27,집행중,0,"4,397,018원"
102,라네즈 LANEIGE,프로모션,브랜딩,"파운데이션 + 쿠션 세트 특가 29,900원 (정가 58,000원) 👉 52% 할인 중 | 신제품 출시 | 무료 샘플 증정",소재보기 →,"facebook, instagram, messenger",전체 / 25-44세,2025-11-29,2026-02-12,75,"5,544,900원"
103,라네즈 LANEIGE,USP (제품특장점),프로모션,히알루론산 5중 보습으로 촉촉한 피부 완성 ✨ 건조한 겨울에도 끈적임 없이 수분 가득 | 자세히 보기 | 공식몰 단독 혜택,소재보기 →,instagram,여성 / 25-44세,2025-11-13,집행중,0,"764,928원"
104,라네즈 LANEIGE,리뷰/UGC,프로모션,찐후기) 3개월 써본 솔직 리뷰... 진짜 피부결이 달라졌어요 😱 비포애프터 공개 | 올리브영 바로가기 | 무료 샘플 증정,소재보기 →,"facebook, instagram",전체 / 25-44세,2026-01-25,집행중,0,"5,767,160원"
105,라네즈 LANEIGE,브랜딩,USP (제품특장점),글로벌 앰버서더 한소희와 함께하는 프레스티지 스킨케어 캠페인 | 신제품 출시 | 새로운 발견,소재보기 →,"facebook, instagram, audience_network",여성 / 18-44세,2025-11-02,2026-02-16,106,"26,874,392원"
106,라네즈 LANEIGE,참여형 (Engagement),프로모션,"밸런스게임 🤔 촉촉 vs 산뜻, 당신의 여름 스킨케어는? 투표하고 쿠폰 받기 | 신제품 출시 | 지금 확인하세요",소재보기 →,"facebook, instagram",전체 / 18-34세,2025-11-20,집행중,0,"21,069,200원"
107,라네즈 LANEIGE,프로모션,브랜딩,오늘 하루만! 전품목 무료배송 + 사은품 랜덤박스 증정 이벤트 | 신제품 출시 | 새로운 발견,소재보기 →,"facebook, instagram",여성 / 18-65세,2026-01-21,2026-02-20,30,"1,359,640원"
108,라네즈 LANEIGE,참여형 (Engagement),정보형 (Edu),DM으로 피부 고민 보내주세요 💬 맞춤 루틴 추천해드립니다! 선착순 100명 | 지금 바로 확인 | 지금 확인하세요,소재보기 →,facebook,여성 / 18-34세,2026-01-03,2026-02-24,52,"9,435,088원"
109,라네즈 LANEIGE,브랜딩,리뷰/UGC,NEW 컬렉션 런칭 🌸 봄을 담은 새로운 시그니처 라인을 만나보세요 | 지금 바로 확인 | 피부 타입별 맞춤 추천,소재보기 →,facebook,전체 / 18-44세,2025-06-06,2026-02-16,255,"61,209,860원"
110,라네즈 LANEIGE,프로모션,USP (제품특장점),틱톡 1억뷰 돌파! 커버력 + 지속력 모두 잡은 올해의 뷰티템 | 한정 특가 | 새로운 발견,소재보기 →,"facebook, instagram, messenger",여성 / 18-34세,2025-12-17,집행중,0,"4,503,808원"
111,라네즈 LANEIGE,참여형 (Engagement),프로모션,챌린지 참여하고 경품 받자! #나의루틴챌린지 해시태그로 릴스 올리기 | 자세히 보기 | 공식몰 단독 혜택,소재보기 →,instagram,여성 / 18-44세,2026-01-15,2026-02-13,29,"4,796,445원"
112,라네즈 LANEIGE,브랜딩,USP (제품특장점),나를 위한 작은 사치. 매일 밤 셀프케어 루틴에 더하는 프리미엄 나이트 세럼 🌙 | 올리브영 바로가기 | 새로운 발견,소재보기 →,"facebook, instagram, audience_network",전체 / 18-65세,2025-05-08,집행중,0,"29,601,240원"
113,라네즈 LANEIGE,정보형 (Edu),프로모션,피부타입별 세럼 고르는법 가이드 📖 건성/지성/복합성 맞춤 추천 TOP5 | 신제품 출시 | 무료 샘플 증정,소재보기 →,instagram,여성 / 25-54세,2026-02-22,집행중,0,"244,670원"
114,라네즈 LANEIGE,리뷰/UGC,정보형 (Edu),레알 미쳤음... 파데 하나로 커버력이 이 정도?? 써보고 깜짝 놀란 쿠션 후기 | 자세히 보기 | 피부 타입별 맞춤 추천,소재보기 →,"facebook, instagram, audience_network",여성 / 25-54세,2026-01-24,집행중,0,"1,722,786원"
115,라네즈 LANEIGE,USP (제품특장점),프로모션,비타민C 순수 성분 그대로. 특허 캡슐 기술로 산화 걱정 없이 피부 광채 UP | 베스트셀러 | 공식몰 단독 혜택,소재보기 →,"facebook, instagram, messenger",남성 / 25-44세,2026-02-27,집행중,0,"428,442원"
116,라네즈 LANEIGE,정보형 (Edu),USP (제품특장점),아침저녁 스킨케어 루틴 3스텝 완벽 가이드! 순서가 중요합니다 | 지금 바로 확인 | 새로운 발견,소재보기 →,instagram,여성 / 18-65세,2026-02-20,집행중,0,"180,352원"
117,라네즈 LANEIGE,브랜딩,프로모션,NEW 컬렉션 런칭 🌸 봄을 담은 새로운 시그니처 라인을 만나보세요 | 지금 바로 확인 | 공식몰 단독 혜택,소재보기 →,"facebook, instagram, audience_network",전체 / 25-54세,2026-02-17,2026-02-20,3,"163,408원"
118,라네즈 LANEIGE,리뷰/UGC,정보형 (Edu),"솔직 언박싱 🎁 신상 세럼 개봉기! 발림성, 흡수력, 향까지 꼼꼼 리뷰 | 지금 바로 확인 | 피부 타입별 맞춤 추천",소재보기 →,"facebook, instagram, messenger",남성 / 25-44세,2025-08-25,집행중,0,"19,392,920원"
119,라네즈 LANEIGE,브랜딩,리뷰/UGC,자연에서 찾은 아름다움의 비밀. 제주 화산수로 완성하는 클린 뷰티 | 올리브영 바로가기 | 피부 타입별 맞춤 추천,소재보기 →,"facebook, instagram, messenger",여성 / 25-54세,2026-01-23,집행중,0,"1,563,984원"
120,라네즈 LANEIGE,프로모션,참여형 (Engagement),🎯 퀴즈 이벤트! 이 성분의 이름은? 맞추면 본품 증정 👉 댓글로 참여하세요 | 한정 특가 | 무료 샘플 증정,소재보기 →,"facebook, instagram",전체 / 25-54세,2025-12-08,2026-03-03,85,"16,651,840원"
121,라네즈 LANEIGE,소셜증거 (Social Proof),리뷰/UGC,올영 선크림 부문 1위 🏆 누적 판매 300만개 돌파한 국민 선크림 | 지금 바로 확인 | 피부 타입별 맞춤 추천,소재보기 →,"facebook, instagram, messenger",남성 / 18-44세,2026-01-29,2026-02-26,28,"2,844,128원"
122,라네즈 LANEIGE,USP (제품특장점),프로모션,"콜라겐 부스팅 펩타이드 크림 💎 피부 속부터 탄력감, EWG 그린등급 성분 | 한정 특가 | 새로운 발견",소재보기 →,"facebook, instagram, audience_network",전체 / 25-54세,2025-11-27,집행중,0,"2,400,640원"
123,라네즈 LANEIGE,USP (제품특장점),프로모션,"콜라겐 부스팅 펩타이드 크림 💎 피부 속부터 탄력감, EWG 그린등급 성분 | 한정 특가 | 공식몰 단독 혜택",소재보기 →,"facebook, instagram",여성 / 18-34세,2025-09-04,2026-02-14,163,"5,393,778원"
124,라네즈 LANEIGE,USP (제품특장점),리뷰/UGC,"병풀 CICA 성분 저자극 포뮬러. 예민한 피부도 순하게 진정, 피부 장벽 강화 | 자세히 보기 | 피부 타입별 맞춤 추천",소재보기 →,"facebook, instagram",전체 / 25-54세,2025-09-18,집행중,0,"1,083,861원"
125,라네즈 LANEIGE,참여형 (Engagement),정보형 (Edu),DM으로 피부 고민 보내주세요 💬 맞춤 루틴 추천해드립니다! 선착순 100명 | 신제품 출시 | 공식몰 단독 혜택,소재보기 →,instagram,여성 / 25-44세,2026-02-20,2026-03-01,9,"1,260,624원"
126,라네즈 LANEIGE,브랜딩,USP (제품특장점),나를 위한 작은 사치. 매일 밤 셀프케어 루틴에 더하는 프리미엄 나이트 세럼 🌙 | 베스트셀러 | 새로운 발견,소재보기 →,facebook,여성 / 18-44세,2025-12-04,2026-02-11,69,"878,508원"
127,라네즈 LANEIGE,USP (제품특장점),프로모션,레티놀 0.1% + 세라마이드 콤플렉스. 주름과 탄력을 동시에 잡는 나이트 세럼 | 올리브영 바로가기 | 공식몰 단독 혜택,소재보기 →,"facebook, instagram, audience_network",여성 / 25-44세,2025-05-22,집행중,0,"26,082,768원"
128,라네즈 LANEIGE,리뷰/UGC,프로모션,레알 미쳤음... 파데 하나로 커버력이 이 정도?? 써보고 깜짝 놀란 쿠션 후기 | 지금 바로 확인 | 무료 샘플 증정,소재보기 →,"facebook, instagram, messenger",여성 / 25-54세,2026-02-01,집행중,0,"3,156,144원"
129,라네즈 LANEIGE,소셜증거 (Social Proof),USP (제품특장점),틱톡 1억뷰 돌파! 커버력 + 지속력 모두 잡은 올해의 뷰티템 | 베스트셀러 | 피부 타입별 맞춤 추천,소재보기 →,instagram,여성 / 25-44세,2025-12-11,2026-02-16,67,"3,813,640원"
130,라네즈 LANEIGE,리뷰/UGC,정보형 (Edu),찐후기) 3개월 써본 솔직 리뷰... 진짜 피부결이 달라졌어요 😱 비포애프터 공개 | 지금 바로 확인 | 피부 타입별 맞춤 추천,소재보기 →,"facebook, instagram, audience_network",남성 / 25-54세,2026-02-03,2026-02-16,13,"2,923,370원"
131,라네즈 LANEIGE,참여형 (Engagement),프로모션,"밸런스게임 🤔 촉촉 vs 산뜻, 당신의 여름 스킨케어는? 투표하고 쿠폰 받기 | 베스트셀러 | 지금 확인하세요",소재보기 →,"facebook, instagram, audience_network",여성 / 18-44세,2025-11-05,집행중,0,"8,044,144원"
132,라네즈 LANEIGE,참여형 (Engagement),정보형 (Edu),DM으로 피부 고민 보내주세요 💬 맞춤 루틴 추천해드립니다! 선착순 100명 | 신제품 출시 | 지금 확인하세요,소재보기 →,facebook,남성 / 25-44세,2026-01-31,2026-02-23,23,"1,593,777원"
133,라네즈 LANEIGE,USP (제품특장점),브랜딩,"콜라겐 부스팅 펩타이드 크림 💎 피부 속부터 탄력감, EWG 그린등급 성분 | 올리브영 바로가기 | 새로운 발견",소재보기 →,"facebook, instagram, audience_network",여성 / 25-54세,2026-01-30,2026-02-07,8,"2,082,965원"
134,라네즈 LANEIGE,소셜증거 (Social Proof),프로모션,뷰티 인플루언서 100명이 추천한 클렌징 오일. SNS 품절 대란 재입고! | 자세히 보기 | 무료 샘플 증정,소재보기 →,"facebook, instagram",남성 / 25-54세,2026-01-11,집행중,0,"6,494,872원"
135,라네즈 LANEIGE,프로모션,USP (제품특장점),"🔥 올영세일 최대 50% OFF! 인기 스킨케어 득템 찬스, 이번 주 일요일까지만 | 자세히 보기 | 새로운 발견",소재보기 →,instagram,여성 / 18-44세,2026-01-09,2026-02-25,47,"9,832,964원"
136,라네즈 LANEIGE,리뷰/UGC,브랜딩,찐후기) 3개월 써본 솔직 리뷰... 진짜 피부결이 달라졌어요 😱 비포애프터 공개 | 신제품 출시 | 피부 타입별 맞춤 추천,소재보기 →,"facebook, instagram, audience_network",여성 / 18-34세,2025-08-16,2026-02-08,176,"34,340,885원"
137,라네즈 LANEIGE,리뷰/UGC,프로모션,인생템 찾았다ㅠㅠ 민감성인 저도 자극 없이 쓸 수 있는 세럼 강추합니다!! | 지금 바로 확인 | 무료 샘플 증정,소재보기 →,"facebook, instagram, messenger",여성 / 18-65세,2025-12-07,집행중,0,"10,389,036원"
138,라네즈 LANEIGE,USP (제품특장점),프로모션,"병풀 CICA 성분 저자극 포뮬러. 예민한 피부도 순하게 진정, 피부 장벽 강화 | 신제품 출시 | 무료 샘플 증정",소재보기 →,instagram,여성 / 18-34세,2025-12-14,집행중,0,"9,728,352원"
139,라네즈 LANEIGE,참여형 (Engagement),프로모션,챌린지 참여하고 경품 받자! #나의루틴챌린지 해시태그로 릴스 올리기 | 올리브영 바로가기 | 무료 샘플 증정,소재보기 →,facebook,전체 / 18-65세,2026-02-17,2026-02-19,2,"464,400원"
140,라네즈 LANEIGE,리뷰/UGC,프로모션,레알 미쳤음... 파데 하나로 커버력이 이 정도?? 써보고 깜짝 놀란 쿠션 후기 | 한정 특가 | 지금 확인하세요,소재보기 →,"facebook, instagram, audience_network",여성 / 18-65세,2026-02-01,집행중,0,"1,027,264원"
141,라네즈 LANEIGE,소셜증거 (Social Proof),프로모션,후기 10만개가 증명하는 보습력. 건성피부 구원템 입소문 대란 | 자세히 보기 | 새로운 발견,소재보기 →,"facebook, instagram, messenger",여성 / 18-44세,2026-01-23,집행중,0,"5,868,338원"
142,라네즈 LANEIGE,참여형 (Engagement),프로모션,친구 태그하면 둘 다 선물! 인생 선크림 나눔 이벤트 ☀️ 스토리 공유 필수 | 올리브영 바로가기 | 공식몰 단독 혜택,소재보기 →,"facebook, instagram, messenger",여성 / 18-44세,2026-02-05,집행중,0,"2,152,620원"
143,라네즈 LANEIGE,프로모션,USP (제품특장점),"🔥 올영세일 최대 50% OFF! 인기 스킨케어 득템 찬스, 이번 주 일요일까지만 | 지금 바로 확인 | 피부 타입별 맞춤 추천",소재보기 →,facebook,남성 / 18-65세,2025-11-24,2026-02-09,77,"20,141,865원"
144,라네즈 LANEIGE,소셜증거 (Social Proof),리뷰/UGC,후기 10만개가 증명하는 보습력. 건성피부 구원템 입소문 대란 | 지금 바로 확인 | 피부 타입별 맞춤 추천,소재보기 →,instagram,여성 / 18-34세,2025-11-23,집행중,0,"15,545,125원"
145,라네즈 LANEIGE,참여형 (Engagement),프로모션,🎯 퀴즈 이벤트! 이 성분의 이름은? 맞추면 본품 증정 👉 댓글로 참여하세요 | 베스트셀러 | 무료 샘플 증정,소재보기 →,facebook,남성 / 18-44세,2025-12-07,2026-02-22,77,"11,560,985원"
146,라네즈 LANEIGE,프로모션,USP (제품특장점),틱톡 1억뷰 돌파! 커버력 + 지속력 모두 잡은 올해의 뷰티템 | 한정 특가 | 피부 타입별 맞춤 추천,소재보기 →,facebook,여성 / 25-54세,2026-01-01,집행중,0,"8,477,765원"
147,라네즈 LANEIGE,브랜딩,USP (제품특장점),글로벌 앰버서더 한소희와 함께하는 프레스티지 스킨케어 캠페인 | 베스트셀러 | 새로운 발견,소재보기 →,facebook,여성 / 25-44세,2026-01-28,2026-02-06,9,"1,215,552원"
148,라네즈 LANEIGE,프로모션,소셜증거 (Social Proof),후기 10만개가 증명하는 보습력. 건성피부 구원템 입소문 대란 | 한정 특가 | 공식몰 단독 혜택,소재보기 →,facebook,여성 / 25-44세,2026-02-05,2026-02-25,20,"2,610,933원"
149,라네즈 LANEIGE,USP (제품특장점),-,"콜라겐 부스팅 펩타이드 크림 💎 피부 속부터 탄력감, EWG 그린등급 성분 | 지금 바로 확인 | 지금 확인하세요",소재보기 →,"facebook, instagram",여성 / 18-34세,2025-11-19,2026-02-18,91,"942,274원"
150,라네즈 LANEIGE,정보형 (Edu),프로모션,아침저녁 스킨케어 루틴 3스텝 완벽 가이드! 순서가 중요합니다 | 지금 바로 확인 | 공식몰 단독 혜택,소재보기 →,"facebook, instagram, audience_network",여성 / 18-65세,2026-02-27,2026-03-02,3,"114,936원"

"소재 유형별 비율 — ""라네즈""",,,,,
총 150건 분석,,,,,
,,,,,
소재유형,건수,비율(%),바,,
프로모션,32,21.3%,██████████░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░,,
리뷰/UGC,27,18.0%,█████████░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░,,
USP (제품특장점),26,17.3%,████████░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░,,
소셜증거 (Social Proof),23,15.3%,███████░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░,,
정보형 (Edu),15,10.0%,█████░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░,,
참여형 (Engagement),14,9.3%,████░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░,,
브랜딩,13,8.7%,████░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░,,

"분석 인사이트 — ""라네즈""",,,,,,,
자동 생성 인사이트 | 2026-03-03 07:13,,,,,,,
,,,,,,,
#1,가장 많이 사용되는 소재 유형은 '프로모션'으로 전체의 21.3%를 차지합니다.,,,,,,
#2,"30일 이상 장기 집행 소재(39건) 중 '프로모션' 유형이 가장 많아 (14건), 해당 유형이 성과가 좋은 것으로 추정됩니다.",,,,,,
#3,현재 활성 광고(78건)에서는 '리뷰/UGC' + 'USP (제품특장점)' 유형이 주력으로 운영되고 있습니다.,,,,,,
#4,타겟 데모그라픽이 여성에 집중되어 있습니다 (50% 이상).,,,,,,
#5,주요 게재 플랫폼은 'facebook'이며 전체 소재의 81%에 게재되고 있습니다.,,,,,,
#6,"소재 유형 TOP3: 프로모션(21%), 리뷰/UGC(18%), USP (제품특장점)(17%)",,,,,,
,,,,,,,
,,,,,,,
※ 위닝 소재 추정: 집행기간 30일 이상 + 현재 활성 상태인 광고를 고성과 소재로 분류합니다.,,,,,,,
"※ 소재 유형은 카피 텍스트 기반 자동 분류이며, 이미지/영상 분석은 포함되지 않습니다.",,,,,,,

브랜드별 소재 분석 요약,,,,,,
,,,,,,
브랜드,총 소재수,활성,종료,주요유형,평균집행일,장기소재(30일+)
라네즈 LANEIGE,150,78,72,프로모션,29일,39
